1st prediction,2nd prediction,3rd prediction
"Malignant neoplasms of ill-defined, secondary and unspecified sites","Complications of surgical and medical care, not elsewhere classified",Malignant neoplasms of digestive organs
Diabetes mellitus,"Abnormal findings on examination of blood, without diagnosis",Mood [affective] disorders
Diabetes mellitus,"Abnormal findings on examination of blood, without diagnosis",Deforming dorsopathies
Diabetes mellitus,"Abnormal findings on examination of blood, without diagnosis",Deforming dorsopathies
Diabetes mellitus,"Abnormal findings on examination of blood, without diagnosis",Deforming dorsopathies
"Complications of surgical and medical care, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis",Arthrosis
"Abnormal findings on examination of blood, without diagnosis",Cerebrovascular diseases,Diabetes mellitus
"Abnormal findings on examination of blood, without diagnosis",Deforming dorsopathies,Diabetes mellitus
General symptoms and signs,Other land transport accidents,Other bacterial diseases
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Bacterial agents resistant to antibiotics,Acute upper respiratory infections,Other bacterial diseases
Acute upper respiratory infections,Influenza and pneumonia,Chronic lower respiratory diseases
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Haemorrhagic and haematological disorders of fetus and newborn,Influenza and pneumonia,Other bacterial diseases
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Acute upper respiratory infections,Other acute lower respiratory infections,General symptoms and signs
"Diseases of oral cavity, salivary glands and jaws","Complications of surgical and medical care, not elsewhere classified",Other disorders of ear
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Acute upper respiratory infections,Other diseases of upper respiratory tract,General symptoms and signs
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Acute upper respiratory infections,Episodic and paroxysmal disorders,"Complications of surgical and medical care, not elsewhere classified"
Other diseases of upper respiratory tract,Acute upper respiratory infections,Influenza and pneumonia
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Acute upper respiratory infections,Influenza and pneumonia,Other bacterial diseases
Acute upper respiratory infections,Mood [affective] disorders,Extrapyramidal and movement disorders
Acute upper respiratory infections,Other bacterial diseases,General symptoms and signs
Acute upper respiratory infections,Chronic lower respiratory diseases,Influenza and pneumonia
Other disorders of eye and adnexa,Aplastic and other anaemias,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
Certain disorders involving the immune mechanism,Aplastic and other anaemias,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
Renal failure,Aplastic and other anaemias,Diabetes mellitus
Renal failure,Aplastic and other anaemias,Diabetes mellitus
Arthropod-borne viral fevers and viral haemorrhagic fevers,Provisional assignment of new diseases of uncertain etiology,Other bacterial diseases
Arthropod-borne viral fevers and viral haemorrhagic fevers,Other bacterial diseases,Provisional assignment of new diseases of uncertain etiology
Arthropod-borne viral fevers and viral haemorrhagic fevers,Tuberculosis,Other bacterial diseases
Arthropod-borne viral fevers and viral haemorrhagic fevers,"Malignant neoplasms of eye, brain and other parts of central nervous system","Malignant neoplasms of ill-defined, secondary and unspecified sites"
Arthropod-borne viral fevers and viral haemorrhagic fevers,Other bacterial diseases,Other degenerative diseases of the nervous system
Arthropod-borne viral fevers and viral haemorrhagic fevers,Other bacterial diseases,Provisional assignment of new diseases of uncertain etiology
Arthrosis,"Complications of surgical and medical care, not elsewhere classified",Injuries to the hip and thigh
Arthrosis,Inflammatory polyarthropathies,Spondylopathies
Arthrosis,Other joint disorders,"Complications of surgical and medical care, not elsewhere classified"
Arthrosis,Other joint disorders,Injuries to the knee and lower leg
Arthrosis,Other joint disorders,"Complications of surgical and medical care, not elsewhere classified"
Arthrosis,Other disorders of kidney and ureter,Inflammatory polyarthropathies
Arthrosis,"Schizophrenia, schizotypal and delusional disorders","Neurotic, stress-related and somatoform disorders"
Arthrosis,Inflammatory polyarthropathies,Disorders of bone density and structure
General symptoms and signs,Arthrosis,Episodic and paroxysmal disorders
Inflammatory polyarthropathies,Arthrosis,Papulosquamous disorders
Arthrosis,Inflammatory polyarthropathies,Other joint disorders
Arthrosis,Other joint disorders,Inflammatory polyarthropathies
Arthrosis,Other joint disorders,"Complications of surgical and medical care, not elsewhere classified"
