ICD Chapter Codes,ICD Chapter Names,ICD Block Names,Title,Research Summary,Inclusion Criteria
17,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations and deformations of the musculoskeletal system,"An exploratory, open label, multiple dose, multicentre phase I/II trial evaluating safety and efficacy of postnatal or prenatal and postnatal intravenous administration of allogeneic expanded fetal mesenchymal stem cells for the treatment of severe Osteogenesis Imperfecta compared with a combination of historical and untreated prospective controls.","The BOOSTB4 trial aims to investigate whether administration of allogeneic (un-matched) fetal mesenchymal stem cells (MSCs, ""BOOST cells"") are a safe and effective treatment for severe types of Osteogenesis Imperfecta (OI). BOOST cells will be given either after birth to babies with OI or before birth to babies in the womb (fetus) that have a confirmed molecular diagnosis of OI. OI patients suffer with repeated painful fractures, bony deformities and short stature. There are no treatments for this debilitating condition which target the underlying pathology. In preclinical (animal) studies, MSCs improve the growth and reduce the fracture rate and bone fragility in mice with OI. MSCs have been administered to a small number of fetuses and babies with OI who appear to have had better outcomes than would otherwise have been expected. Worldwide, MSCs have been used to treat many other conditions and appear to be safe, with no evidence of tumour formation and few side effects. We aim to give the BOOST MSCs to 15 babies aged up to 12 months of age (Part 1) and 15 fetuses at 16-35+6 weeks of gestational age (Part 2). The babies or fetuses will each receive a total of 4 doses of MSC, given four months apart. For fetal (prenatal) participants, the first dose will be given as an ultrasound-guided injection into the umbilical cord. Short term follow up will be for 1 year, with long term follow up until 10 years after 1st dose (or age 10 for prenatal participants). Participants will be matched with prospective or historical untreated OI control patients. The trial is sponsored by the Karolinska Institutet in Sweden. Within the UK, the study will be conducted at University College London Hospital and Great Ormond Street Hospital. There are 3 additional sites within Europe.","Postnatal group Infants diagnosed with OI type III or severe OI type IV postnatally and prenatally diagnosed cases who did not consent to prenatal administration. 1. Parentâs/legal guardianâs signed informed-consent form 2. Clinical diagnosis of OI type III or IV AND 3. Molecular diagnosis of OI (Glycine substitution in the collagen triple-helix encoding region of either the COL1A1 or COL1A2 gene) 4. Age less than 12 months (calculated from gestational week 40+0, i.e. the corrected age) 5. Parent/legal guardian over 18 years of age Prenatal group Pregnant women whose fetus has been diagnosed with OI type III or severe OI type IV prenatally and who consent to MSC administration in utero. 1. Woman has signed the patient consent form 2. Only women where termination of the pregnancy is no longer possible or women that are committed to continue the pregnancy 3. Suspicion of OI type III or IV in the fetus on ultrasound findings AND 4. Molecular diagnosis of OI in the fetus (Glycine substitution in the collagen triple-helix encoding region of either the COL1A1 or COL1A2 gene) 5. Gestation age between 16+0 and 35+6 weeks+days 6. Pregnant woman over 18 years of age After birth and before the 2nd dose, subjects in the prenatal group will be assessed for the inclusion criteria described for the Postnatal group. Matched historical controls Subjects will be identified in historical registries and data will be retrieved from national OI registers and the OI Variant Database. 1. Parentâs/legal guardianâs signed informed-consent form (according to decision from national Ethical review board) 2. Clinical and molecular diagnosis of OI (Glycine substitution in the collagen triple-helix encoding region of either the COL1A1 or COL1A2 gene) 3. Data on fractures and growth is available 4. Parent/legal guardian over 18 years of age Prospective untreated controls Subjects eligible for the trial but not willing/able to participate will be asked for consent to be included as prospective controls. - Postnatal inclusion: For postnatally included prospective untreated controls the inclusion for the postnatal group apply. - Prenatal inclusion: For prenatally included prospective untreated controls the inclusion criteria for the prenatal group apply, except inclusion criteria 2."
9,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Investigation into conductive and arrhythmogenic properties of the right atrium and ventricle in patients with pulmonary hypertension,"Pulmonary Hypertension (PH) is a common and important clinical condition with a significant degree of associated morbidity and mortality. Much of this is due to the high incidence of cardiac arrhythmias in these patients, the presence of which have been shown to correlate with worse prognosis. Very little is understood about the mechanisms underlying these arrhythmias however. We plan to study the heart muscle conduction characteristics of patients with PH undergoing ablation procedures as part of their clinical care. Firstly, using wires (catheters) inserted peripherally via the femoral vein and passed up to the heart we can create a 3 dimensional map of the heart using specialised software. These catheters are also capable of measuring local electrical activation in heart tissue with which they are in contact. We can thus create a model of electrical activation and map areas of scar in the heart chambers of interest. Secondly, a group of PH patients undergoing MRI scans of the heart for clinical purposes will be identified for non-invasive mapping using novel Electrocardiographic Imaging (ECGI) technology. This involves wearing a multi-electrode vest for the duration of the MRI scan and a short period before or after. Using anatomical information gleaned from the scan and electrical information gleaned from the multi-electrode vest a similar 3 dimensional map of the heart can be created without the need for invasive catheter manipulation. By identifying and characterising arrhythmia mechanisms in patients with PH we hope to better understand how these arrhythmias arise, how they correlate to prognosis and how to target therapy appropriately.","All patients with pulmonary hypertension who are scheduled to undergo an EP study and ablation procedure, or cardiac MRI scan will be eligible."
2,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue","A prospective, multicentre European Registry for newly diagnosed patients with Myelodysplastic Syndromes (MDS), including acute myeloid leukaemia with 20-30 percent marrow blasts (former RAEB-t), and Chronic Myelomonocytic Leukaemia (CMML).","The European MDS Registry (EUMDS) started as an observational pan-European study aiming to prospectively collect longitudinal data from a large number of lower-risk myelodysplastic syndromes (MDS) patients in April 2008. The registry has evolved into a valuable source containing data on diagnostics, demographics, clinical parameters, health-related quality of life (HRQoL), disease-management and outcome of over 2000 newly diagnosed lower-risk (IPSS low and intermediate-1) MDS patient across 142 centres in 17 countries. In a number of these countries, national MDS Registration projects are ongoing aiming at improving the knowledge of the local incidence and management of these patients. The EUMDS registry serves as a central international registry, using the national MDS Registries that are represented within the European LeukemiaNet MDS Working Party (ELN WP8) as the platform for registration, to study the demographics, disease-management and treatment outcomes in patients with newly diagnosed MDS more comprehensively. The aim in the next phase of the EUMDS Registry is to extend the current registry to a general MDS registry including higher-risk (IPSS intermediate-2 and high-risk), therapy-related MDS and MDS-F, AML with 20-30 percent marrow blasts (former RAEB-t), CMML and other forms of mixed MDS/MPD.",Patients must meet all of the following criteria to be included in the European MDS Registry: - Age > 18 years - Newly diagnosed patient (within 100 days from the date of the diagnostic BM aspirate) -MDS classified according to current WHO criteria (both 2008 [8] and 2016 [10] will be recorded)3 - All sub groups of MDS -Therapy-related MDS -MDS with Fibrosis (MDS-F) -AML with 20-30 percent marrow blasts (former RAEB-t) -CMML and other forms of mixed MDS/MPD -IPSS and IPSS-R Risk group classification (mandatory)4 -Able and willing to provide the written informed consent
1,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,A Point of care antimicrobial resistance test for Neisseria gonorrhoeae and Mycoplasma genitalium infection â ensuring accurate therapy and antibiotic stewardship in sexual health medicine.,"Testing for sexually transmitted infections (STIs) enables diagnosis and appropriate clinical management of individuals, thus preventing serious health consequences. It is an important public health intervention with potential to reduce onward transmission of infection to sexual partners, and reducing the emergence of antimicrobial resistance (AMR). New technologies, including point of care tests (POCTs), especially those that combine detection of the pathogen and AMR, may help overcome challenges of STI prevention by enabling immediate diagnosis and appropriate treatment, improving partner notification, quality of patient care and antibiotic stewardship. Through a three-year NIHR i4i-funded grant (II-LB-0214-20005), the team at St Georgeâs University of London have been working with Atlas Genetics, to develop a POCT for diagnosis and AMR for the two STIs Neisseria gonorrhoeae (NG) and Mycoplasma genitalium (MG). We are now able to conduct a prospective diagnostic accuracy study of the test using patient-consented (additional to routine) clinical samples, to evaluate the Atlas io platforms and its associated cartridges. For NG, the primary outcome is to set the detection level whereby samples are considered negative and assess the testâs utility as a reflex test for patients already diagnosed with NG. For MG, we will look at the accuracy of detection and AMR. Secondary outcomes are an epidemiological description of the recruited population, and modelling clinical impact of POCTs. We will work with Atlas Genetics and a number of UK NHS Genitourinary Medicine (GUM) clinics, over 12 months. Following informed consent, females will be asked to provide 2 additional vulvo-vaginal swabs, males an additional portion of first void urine, and men-who-have-sex-with men (MSM) two additional pharyngeal and rectal swabs. The results of the tests will not be used to inform patient care. Participants will only be recruited during one routine clinical visit, no follow up is required.","i) Males and females attending the GUM clinic who are being routinely tested for STIs, including CT and NG (NAATs), as part of their standard care ii) Able to provide written, informed consent; iii) Willing and able to provide: f) Males: The residual of the first catch urine (FCU) sample, minimum 20ml (i.e. (first > = 20ml of the initial urine stream, with the patient not passing urine in the previous 2 hours) g) Females: Three self- or healthcare professional-collected vulvovaginal swabs (VVS) (1 routine collected first, 2 additional-to-routine in eNAT medium (order determined by patient/healthcare professional)) h) MSM: Four healthcare professional-collected pharyngeal swabs (2 routine collected first, 2 additional-to-routine in eNAT medium (order determined by healthcare professional)) i) MSM: Four self- or healthcare professional-collected rectal swabs in eNAT medium (2 routine collected first, 2 additional-to-routine in eNAT medium (order determined by patient/healthcare professional)) iv) Symptomatic or contact of someone with CT/NG/MG/NSU; and v) Patients aged 16 years or over. For MSM, patients returning to the clinic for treatment following a positive test result for NG and/or MG following routine NAAT results, will also be eligible for recruitment."
5,Mental and behavioural disorders,Mood [affective] disorders,Professional satisfaction and wellbeing among specialty trainees in Anaesthesia within the Southwest of England and Wales; a mixed-methods collaborative study.,"Background Anaesthesia as a medical specialty often produces high levels of professional satisfaction. Despite this, 30% of UK anaesthetists feel stressed âa lot of the timeâ and 5% feel stressed âall the timeâ. For anaesthetists and trainee anaesthetists, high stress levels can lead to depression and burnout syndrome (consisting of emotional exhaustion, having an unfeeling response to oneâs patients and having a sense that oneâs work lacks value). Anaesthetic trainees who experience burnout are more likely to make medication errors and practice less safely, increasing the risk of harm to their patients. Stress, depression and burnout syndrome have never been properly explored in UK anaesthetic trainees. This represents an important safety issue, both for these doctors and the patients they treat. Aims 1. To establish the prevalence of stress, depression and burnout syndrome among anaesthetic trainees within Southwest England and Wales. 2. To identify and explore the potential factors which contribute to these traits. Methods This study is a collaboration between three regional trainee-led research groups. Firstly, we will send a confidential electronic questionnaire to all anaesthetic trainees in Severn, Peninsula and Wales Deaneries (approximately 600). This will collect demographic data and also use well-validated assessment tools to measure the prevalence of depression, burnout, stress and job satisfaction. Secondly, an experienced psychologist will carry out optional and confidential telephone interviews on a sample of those who score both high and low in domains of stress, depression and/or burnout, in order to identify potential contributing and protective factors. Potential Benefits of the Study This study will provide current, accurate information for those involved in educating, supervising and managing UK anaesthetic trainees and may identify opportunities for the modification or management of risk factors implicated in the development of stress, depression or burnout syndrome.","Specialty Trainee in Anaesthesia (+/- Intensive Care Medicine) within Southwest England (Severn and Peninsula Training Deaneries) or Wales (Wales Deanery). Includes all Training Grades CT1 to ST7 inclusive. Aged 18 or over. Able to give informed, written consent."
4,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,Investigating how platelet-derived oncogenic microRNAs (miRNAs) are altering the genetics of breast cancer cells.,"This application is for approval to gain a blood sample from diabetic patients recruited by our clinical collaborator Dr Donald Whitelaw at his clinic. We have funding from the charity Breast Cancer Now to run a three year PhD research project entitled âInvestigating how platelet-derived oncogenic miRNAs are altering the genetics of breast cancer cellsâ. Diabetes is a strong risk factor for developing aggressive, rapidly spreading forms of breast cancer. We have preliminary data demonstrating that platelet blood cells in diabetic patients release small particles (microparticles) that contain specialised chemicals (miRNAs) which may help to promote cancer growth responses. This project will extract microparticles from diabetic patients blood to study how they promote cancer growth responses, and will identify which miRNAs found in the particles from diabetic donors help cancer development.","Adult female diabetic donors with a current active complication of diabetes(Cardiovascular disease,neuropathy, nephropathy or a foot ulcer). The control group of healthy, non-diabetic donors, will be recruited from Bradford University and blood samples will be taken by Bradford University staff at the university."
4,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,A pilot randomised controlled trial to assess the efficacy of sitagliptin in reducing depressive symptoms in patients with comorbid type 2 diabetes and depression,"One in 5 patients with type 2 diabetes (T2D) has depression. Patients with depression and T2D have more chance of getting complications related to their diabetes (such as stroke and heart attack) and of dying early. However, the reasons for this are not well understood and current treatments for depression do not improve these poor outcomes. Sitagliptin is an established medication for T2D that acts to reduce blood sugars. In addition, Sitagliptin acts to reduce inflammation â the bodyâs normal response to infections but which, if elevated for a long time, may worsen both T2D and depression. In a study of 1735 patients with T2D, we recently observed that those receiving Sitagliptin and related medications experienced an improvement in depression. This improvement correlated with reduction in levels of inflammation, suggesting that Sitagliptin may improve depression by reducing inflammation. We therefore propose a pilot clinical trial of Sitagliptin in 60 patients with T2D and depression. Participants will be recruited from GP surgeries in Lambeth, Southwark and Lewisham. Participants will be randomised to receive either Sitagliptin or placebo daily for 12 weeks. Neither participants nor the trial team will know which treatment any patient is receiving. Before starting treatment and every 4 weeks thereafter, participants will answer two depression questionnaires and have blood tests to measure inflammation and blood sugar control. Although treatment will stop after 12 weeks, participants will continue to be monitored every 4 weeks for a further 12 weeks for depression levels. Participants will be seen at Kingâs College Hospital or their own GP surgery. We propose that Sitagliptin will lead significant improvement in depressive symptoms compared to placebo. If successful, this study will provide the first trial evidence that inflammation is important in the depression of T2D and provide the basis for a larger clinical trial.","1. Diagnosis of type 2 diabetes for minimum 6 months 2. Aged 18-75 years 3. Poor glycaemic control defined as HbA1c 7-10% 4. Already prescribed a first-line anti-diabetes agent (metformin or sulphonylurea) for at least 3 months 5. Current PHQ-9 score > = 10 6. Fluent in conversational English 7. Able to sign informed consent form 8. Use of contraception if female and of childbearing age. Female participants will require a negative serum pregnancy test before starting the study and will also need to agree to use an acceptable form of contraception throughout the intervention period, e.g. oral contraceptive pill, long-acting reversible contraceptive."
4,"Endocrine, nutritional and metabolic diseases",Other nutritional deficiencies,Limited exposure narrowband ultraviolet B (NB-UVB) to face and arms using a portable lamp in healthy volunteers and patients with vitamin D insufficiency.,"An adequate vitamin D supply is crucial for bone health and may be important in the prevention of certain cancers and autoimmune diseases. At present vitamin D deficiency is common worldwide. In the UK this condition frequently affects people especially in winter when vitamin D synthesis induced by the sun is zero. Solar ultraviolet (UV) exposure is the major source of vitamin D and as much as 90% of all vitamin D has to be formed in the skin. Narrowband UVB (NB-UVB) is a safe and effective method of stimulating vitamin D production, and it is impossible to overdose. This is the first study of short burst, limited exposure to forearms and face at home using a portable lamp. In most patients oral vitamin D supplementation is well tolerated and effective, but there is a minority who will not tolerate or absorb oral vitamin D. In the proposed study we will examine whether a seven day course of NB-UVB to hands and face improves vitamin D balance in winter in healthy volunteers and patients with vitamin D insufficiency, and whether this approach might be feasible, tolerated and acceptable to patients. In later studies we intend to assess if the technique can be used in nursing homes, in Crohn's disease and other causes of malabsorption and other chronic diseases which restrict sunlight exposure.",Patients and healthy volunteers with vitamin D insufficiency or deficiency (25OHD3 < 50nmol/L) will be recruited between November and April 2016/7 - Skin type II and III - No more than 400IU (10mg) vitamin D supplementation during the two preceding months. - Willing and able to provide written informed consent - Able to understand/communicate in English
4,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation,What is the impact of a modified Roux-en-Y-gastric bypass operation on people with type 2 diabetes mellitus? The LONG LIMB-2 double-blinded randomised controlled clinical trial,"The profound improvement in glucose control after Roux-en-Y-gastric bypass (RYGB) has led to the recognition of the intestine as a major player in glucose regulation. The optimal length of each of the three limbs (alimentary, biliopancreatic and common) remains controversial. This is further complicated by the differences in total small intestinal length in humans (ranging between 3.5-10.5 meters). Anatamical arrangements of RYGB results in three segments or ""limbs"": 1. ""Alimentary limb"" through which food enters the small intestine through a gastric pouch (the remnant of the stomach) 2. ""Biliopancreatic limb"" which includes the bypassed segments of the duodenum (first section of the small intestine) and proximal jejunum (second section) through which the biliopancreatic (bile acids from the gall bladder and pancreatic) secretions flow and 3. ""Common limb"" in which the food and biliopancreatic secretions mix. Current evidence supports the hypothesis that a ""modified"" RYGB with a long alimentary limb and short common limb may optimize glucose control. There have not been any clinical trials comparing ""modified"" and ""standard"" RYGB with glucose control as primary outcome. In this study, we propose to recruit 80 patients with type 2 diabetes mellitus (DM) and obesity who are eligible for metabolic surgery and currently on the waiting list for bariatric surgery at Imperial College London Healthcare NHS Trust obesity service. Randomisation will take place intra-operatively in patients with a total small intestinal length < 5.5 meters. The surgeon will contact the randomiser who will make the allocation to either ""modified"" or ""standard"" RYGB before continuing with the surgery. Research will take place at Imperial College London NHS Trust. Participants will attend 5 visits in total (baseline, day 10, 3, 6 and 12 months post operatively) for anthropometric measurements, blood tests, urine pregnancy test, assessment of number of glucose lowering medications and adverse event profile.",â¢ Diagnosis of T2DM â¢ BMI > 30 kg/m2 â¢ Age 18-65 years â¢ Eligible for metabolic/bariatric surgery as per NICE CG189
7,Diseases of the eye and adnexa,Visual disturbances and blindness,"Binocular vision, visual function and pupil dynamics in people living with dementia: Exploring their relationships to rate of cognitive decline and structural changes within the brain","Some types of memory problems can change your ability to judge distances. This is called depth perception. It can be measured with some simple and easy tests, which are used in hospitals all the time. Problems with depth perception can lead to double vision, headaches and sore eyes. These problems can also increase risk of falling, make hand-eye tasks harder, and cause distress. Right now, testing depth perception is not included in current dementia-friendly eyetest guidelines. We donât know how common depth perception problems are amongst people with dementia, or whether they interact with other eye-related markers of dementia, like changes in the pupil (the black middle part of the eye), or letter chart vision. We also donât know if changes in these things over time match up with changes in memory test scores, sleep quality, or the visual areas of the brain on scans. We want to test up to 210 people with a recent dementia diagnosis (within last 18 months), who attend Surrey and Borders Partnership community clinics. They'll complete a sleep questionnaire and some eye tests three times over an 8 month period to see if their depth perception, letter chart vision and pupil functions change in this time, and whether these relate to any changes in memory test scores or sleep quality. For 30 people with Alzheimerâs Disease, we will invite them to have a brain scan (magnetic resonance imaging, MRI) and wear a sleep-tracker after the first and final visit. This sees if changes in their test results relate to changes in visual areas of the brain. If we find these simple, non-invasive tests of eyesight can predict dementia progression, including depth perception testing within dementia-friendly eyetests would be helpful. Eye testing could present an alternative way of monitoring progression of dementia.","All participants (maximum n = 210): â¢ Confirmed diagnosis, within last 18 months, of Alzheimerâs disease, vascular dementia, mixed Alzheimerâs/vascular dementia, Lewy Body dementia or posterior cortical atrophy. â¢ Attending community mental health (CMH) clinics at Surrey and Borders Partnership (SABP) NHS sites â¢ Baseline corrected visual acuity < = 0.300 logMAR bilaterally â i.e. no visual impairment1 â¢ No pathology affecting pupil function, e.g. ocular trauma â¢ No history of childhood amblyopia/strabismus â¢ No history of alcohol/substance misuse â¢ No significant neurological/psychiatric history excluding dementia, e.g. focal brain lesion, schizophrenia â¢ Not currently taking miotic/mydriatic medications (e.g. for glaucoma) â¢ Not currently taking medication likely to significantly impair cognitive function (e.g. sedatives, antipsychotics) â¢ Spectacles, if worn, are up-to-date prescription (within last 2 years) â¢ Fundus and media check within last 12 months, permitted diagnoses: no apparent defect, age-related macular degeneration, diabetic retinopathy, cataract (if not met, to be arranged prior to first study visit with The Outside Clinic or other provider of patientâs choice, costs reimbursed) Subset of PWD receiving MRI (n=30, comprising suitable sub-sample for pilot study13): â¢ Capacity to give informed consent at baseline scan, as determined by 3-Item capacity questionnaire (this criterion is in place for this subset of participants due to the requirement for the person with dementia to be alone in the scanner room during the scan and only able to be addressed by intercom). â¢ No contra-indications for MRI e.g. embedded metals, history of significant claustrophobia or previous panic or claustrophobia while in an MRI scanner â¢ Confirmed diagnosis, within last 18 months, of Alzheimerâs disease â dementia type selected for established structural MRI disease progression markers"
