ICD Block Names,Title,Research Summary,Inclusion Criteria
"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Checkpoint inhibitor-induced liver injury (ChILI) study,"â¢ Immune checkpoint inhibitors are proven cancer treatment drugs which have evolved over the last decade and improved outcomes in various cancers.  â¢ They work to boost the normal immune system by restoring processes which get blocked when cancer develops.  â¢ These drugs boost all the immune cells, not just the ones that can attack the cancer.   â¢ The overactive immune system following this treatment can damage the liver and other organs which can be serious. These injuries are unpredictable and difficult to treat.    â¢ Our aim is to develop new tests that can identify, predict and prevent checkpoint inhibitor-induced liver injury (ChILI) and identify the risk factors for developing this condition.  â¢ Patients with cancer who are about to start checkpoint inhibitors by oncologist or developed liver injury following the treatment will be eligible for the study.  â¢ The study will be conducted at Nottingham University Hospitals (Queens medical Centre and Nottingham City Hospital) and St George's University Hospitals NHS Foundation Trust.  â¢ The study will run for 3 years.  â¢ For participants starting on check point inhibitors, we plan to see them twice (before treatment and 6- 14 weeks after).  â¢ For participants who developed liver injury they will be seen three times over 1 month (at time of reaction, 1 week after and 1 month after).  â¢ Each research visit will last around 30 minutes which involved taking medical history including medication history and collection of up to 80 mls of blood (4Â½ tablespoons) and a urine and/or stool (âpooâ) sample (urine and stool samples are optional). We will obtain consent for liver sample only if liver biopsy was clinically indicated.  â¢ Visits will be adapted to coincide with routine hospital care and clinic visits whenever possible and samples for research will be collected alongside clinical care blood tests.","Both patient groups and control group:  Aged 18 years and over.  Able to give written informed consent OR;  Potential participants who have developed encephalopathy related to ChILI as a response to checkpoint inhibitor therapy, who lack capacity to give written informed consent and have a consultee (personal or nominated) â for ChILI patient group only.    ChILI Patients:   Adults with cancer receiving checkpoint inhibitors (CTLA-4, PD-1 or PD L1 inhibitor) as monotherapy or combination (without chemotherapy) and developed acute liver injury secondary to checkpoint inhibitor and meeting the following criteria will be included:    1. Meets one of the following analytical thresholds at enrolment (visit 1):   â¢ Alanine transaminase (ALT) exceeding 5 times upper limit of normal (ULN) OR;  â¢ ALT exceeding 3 times ULN plus bilirubin exceeding 2 times ULN OR;  â¢ Alkaline phosphatase (ALP) exceeding 2 times ULN with accompanying elevations of gamma-glutamyl transferase in the absence of known bone metastases driving the rise in ALP level.  2. Absence of other known causes of liver injury after detailed investigations.    Patients who developed ChILI but did not meet the above criteria at enrolment or who were found to have different cause for their liver injury after further investigations will be excluded from analysis.      Control Group:  Consecutive patients with cancer who have clinical indication to start checkpoint inhibitors will be approached for consent to be enrolled in the study. We will enrol 120 consecutive patients who will be identified as controls. A small proportion of patients will develop ChILI following their checkpoint inhibitor treatment and will be classified as cases."
"Abnormal findings on examination of blood, without diagnosis",Exploring the patient experience of a diagnosis of pre-diabetes and factors influencing uptake of referral to a lifestyle intervention programme,"Research Question: Exploring the patient experience of a diagnosis of pre-diabetes and factors influencing uptake of referral to a lifestyle intervention programme in areas of socioeconomic deprivation.    Background: Pre-diabetes is a state in which a person's blood sugar levels are higher than normal but lower than the thresh-hold for a diagnosis of diabetes. People with pre-diabetes are at higher risk of developing diabetes than the general population. There is some evidence that lifestyle change including increased exercise, healthy diet and weight loss can reduce the risk of pre-diabetic patients developing type 2 diabetes (T2DM). Studies have suggested that patients from areas of lower socio-economic deprivation are less likely to benefit from programmes designed to encourage lifestyle change.  In the UK, general practitioners (GPs) are currently being encouraged to identify patients with pre-diabetes and refer them to a lifestyle intervention programme.    This study seeks to explore how patients in areas of socioeconomic deprivation respond to a diagnosis of pre-diabetes, what they understand by the term and whether they believe they can do anything about it. We also wish to explore what determines their decision to accept or decline referral to a lifestyle intervention programme aimed at reducing their risk of developing T2DM.  Findings from the study will help GPs have more useful conversations with their patients about pre-diabetes and may improve uptake of lifestyle intervention programmes.     Who and where: Patients registered with GPs in socioeconomically deprived areas of Sheffield who are aged 18 and over, who have been diagnosed with pre-diabetes and offered referral to a lifestyle intervention programme.      How: 20-30 patients will be interviewed. The interviews will be taped and analysed for recurring themes. The information obtained will be written up and submitted for publication in a medical journal and presented at a medical conference.",â Coded diagnosis of pre-diabetes and have been offered referral to the National Pre- Diabetes Prevention Programme.   â Aged > 18
"Abnormal findings on examination of blood, without diagnosis",Assessment of the Impact of a Personalised Nutrition Intervention in Impaired Glucose Regulation,"This study will determine if DNA-based dietary guidelines can improve glucose regulation in pre-diabetic individuals significantly more than standard dietary guidelines following 6 weeks of the intervention. This will be assessed using an oral glucose tolerance test, which is a standard clinical measurement used to assess impaired glucose regulation. Pre-diabetic individuals will be recruited by offering the opportunity to self-assess their risk score for type 2 diabetes using the Leicester Risk Score Questionnaire on the Diabetes UK website, and they can contact the clinical trial team if they are interested in participating in the trial. They will then be invited for a point of care Hba1c test to determine their suitability for the trial. The point of care Hba1c test is a simple finger prick test to assess glucose regulation.     The potential for lifestyle interventions to reduce the progression to type 2 diabetes from pre-diabetic states has been demonstrated in a number of randomised control trials (RCTs) in different countries, with a meta-analysis of RCTs suggesting that lifestyle intervention in high risk subjects can halve the incidence of diabetes. However, they have been expensive and labour intensive, with multiple personal contacts. Such intensive input is not practical on a large scale. Furthermore, DNA based dietary advice has shown a greater improvement in fasting glucose measurements in obese individuals compared to standard dietary advice, with the BMI (body mass index) only showing a long-term improvement in the group that received DNA-based dietary advice. The proposed study may be able to show that increased benefits can be obtained by following a DNA-based diet compared to standard dietary advice for pre-diabetic patients. Furthermore, the exploratory arm of the study will receive the advice via an app (provided by DnaNudge Ltd), which if effective, would demonstrate a low-cost, widely-distributable method that could be deployed to the general public without requiring individuals to self-identify as pre-diabetic to receive an intervention. The research is funded by DnaNudge Ltd.","In order to be eligible to participate in this study, an individual must meet all of the following criteria:  â¢ Provision of signed and dated informed consent form  â¢ Adults over 18 years of age  â¢ Impaired glucose regulation including IFG and IGT by fasting glucose, OGTT or HbA1c criteria  â¢ Access to smartphone with an operating system of iOS 8.0 or above, or Android 4.0 or above."
"Abnormal findings on examination of blood, without diagnosis",Can brisk walking combined with ingestion of a lipid-lowering drug improve fat metabolism in muscle?,"The accumulation of fat in skeletal muscle is linked with insulin resistance in obesity and T2D.  However, fat also accumulates in the muscle of lean, healthy people, but they remain insulin sensitive.  This is because healthy people are able to burn this fat to generate energy during exercise.  However, overweight/obese inactive people canât use muscle fat during exercise in the same manner, which is related to the high blood lipid concentrations that are observed in these individuals.       Acipimox is a lipid-lowering agent that specifically reduces the breakdown of fat in adipose tissue and has been shown improve the blood lipid profile of obese individuals and T2D patients, at least in the short-term (1-2 weeks).  Our previous research has shown that the combination of Acipimox with exercise restores the ability of obese people to burn fat during moderate-intensity cycling exercise.  We now want to test whether Acipimox also increases the ability to burn muscle fat during low-intensity walking in people with prediabetes.  If it does, then the next step will be to test whether the combination of Acipimox and walking can lead to improved insulin sensitivity and reduced T2D risk over a longer intervention programme.      12 people with prediabetes will be recruited to undertake two experimental trials in a randomised order.  Each trial will involve walking for 45 minutes on a treadmill, with muscle biopsies obtained from the thigh before (basal), immediately following (post-exercise) and 3 h post-exercise.  Each trial will be identical, except that participants will ingest either Acipimox or a placebo in a double-blind design.  Muscle biopsies will be used to examine differences in muscle fat between the two trials.","â¢ Aged 25-55 years  â¢ BMI > 28 kg.m-2  â¢ Pre-diabetic, defined as having impaired fasting glucose (fasting glucose > = 6.1 mmol.L-1 and < = 6.9 mmol.L-1) and/or impaired glucose tolerance (plasma glucose of > = 7.8 mmol.L-1 and < 11.1 mmol.L-1 after a 2 h oral glucose tolerance test; OGTT), or a HbA1c of 42-47 mmol.mol-1.  â¢ No recent history (< 1 year) of ischaemic heart disease, myocardial infarction, or active angina.  â¢ Physically inactive (performing less than two 30 min structured exercise sessions per week for the last year)  â¢ Not pregnant (or intending to get pregnant during the study) or currently breast feeding  â¢ Pre-menopausal  â¢ Not currently involved in a weight loss programme or using weight loss medication"
"Abnormal findings on examination of blood, without diagnosis",Can the health benefits of a walking-based exercise programme be enhanced by co-ingestion of a lipid-lowering drug?,"The accumulation of fat in skeletal muscle is linked with insulin resistance in obesity and T2D.  However, fat also accumulates in the muscle of lean, healthy people, but they remain insulin sensitive.  This is because healthy people are able to burn this fat to generate energy during exercise.  However, overweight/obese inactive people canât use muscle fat during exercise in the same manner, which is related to the high blood lipid concentrations that are observed in these individuals.       Acipimox is a lipid-lowering agent that specifically reduces the breakdown of fat in adipose tissue and has been shown improve the blood lipid profile of obese individuals and T2D patients, at least in the short-term (1-2 weeks).  Our previous research has shown that the combination of Acipimox with exercise restores the ability of obese people to burn fat during moderate-intensity cycling exercise.  We now aim to test whether improvements in insulin sensitivity and glucose control induced by a low-intensity walking programme are greater when each exercise session is undertaken following ingestion of Acipimox.    34 people with prediabetes will first undergo a series of metabolic health measurements, including an assessment of fitness, body composition, insulin sensitivity, glucose control, and muscle and liver fat levels.  We will also take muscle biopsies to investigate the mechanisms in skeletal muscle underpinning any changes in fitness and insulin sensitivity.  They will then undertake 12 weeks of steady walking (3 times per week), with each session lasting 30-50 minutes.  Half of the participants will undertake each exercise session having ingested Acipimox beforehand, whereas the other half will consume a placebo.  After the intervention the metabolic health measurements will be repeated.","â¢ Aged 25-55 years  â¢ BMI > 28 kg.m-2  â¢ Pre-diabetic, defined as having impaired fasting glucose (fasting glucose > = 6.1 mmol.L-1 and < = 6.9 mmol.L-1) and/or impaired glucose tolerance (plasma glucose of > = 7.8 mmol.L-1 and < 11.1 mmol.L-1 after a 2 h oral glucose tolerance test; OGTT), or a HbA1c of 42-47 mmol.mol-1.  â¢ No recent history (< 1 year) of ischaemic heart disease, myocardial infarction, or active angina.  â¢ Physically inactive (performing less than two 30 min structured exercise sessions per week for the last year)  â¢ Not pregnant (or intending to get pregnant during the study) or currently breast feeding  â¢ Pre-menopausal  â¢ Not currently involved in a weight loss programme or using weight loss medication"
"Abnormal findings on examination of blood, without diagnosis",Characterisation of T cell function after surgery.,"More than 1.6 million individuals aged > 70 years undergo surgery each year in the UK, yet many struggle to return to independent function suffering increased complications after surgery, including wound infections, reduced kidney function, difficulty with their mobility. These common complications, which occur in more than 25% of those > 70 years old, lead to distressing and prolonged stays in hospital. For older individuals who leave hospital, complications after surgery are associated with much shorter life expectancy. The reasons for why postoperative complications in older people lead to delayed recovery and/or early death remain unclear.  Inflammation is a key factor in causing long-term health problems. When older individuals suffer from complications after surgery, the immune system becomes dysfunctional. This leads to higher levels of inflammation and long-term health problems, including frailty. Alterations in white blood cell count because of increased inflammation are a well recognised feature of ageing, however, it is often thought to be irrelevant. We donât think this is the case, we believe that a low WBC count is a major cause of complication following surgery. Indeed we think that higher levels of inflammation that occur during ageing cause the loss of white blood count. We know that surgery causes the energy production of a particularly type of white blood cell called a T-lymphocyte to be reduced to levels that render the cells dysfunctional and prone to dying. We also know that T-lymphocytes from older people display the same reduced energy level, what we would like to find out is whether older people with lower white blood cell counts display these energy changes delaying, full recovery and independent function.  In this study, we will measure the amount of inflammation in patients with low white cell counts before and after surgery. We will also look at changes in the energy usage in T-lymphocytes in people with low white blood counts and see if T-lymphocyte insufficiency contributes to incomplete recovery after surgery. If we can show that T-lymphocytes are damaged in patients with low white cell counts, there are a number of potential treatments that may reverse- or even prevent- these changes happening after surgery. If we can help restore the energy function of the immune system we hope to improve the chances recovering fully after major surgery.",â¢ > 55 years old.  â¢ Undergoing elective knee or hip replacement surgery.  â¢ Given written informed consent.
"Abnormal findings on examination of blood, without diagnosis",Glycaemic Variability in Acute Stroke,"This study aims to look at glycaemic variability in 200 participants who have experienced a recent acute stroke, half of whom will have some form of diabetes inclusive of impaired glucose tolerance. The aim of the research is to assess whether glycaemic variability impacts outcomes immediately following acute stroke.",- Known Diabetes or HbA1c > 42 or no known diabetes.   - Clinically suspected ischaemic stroke (NIHSS score > 6) within 12 hours of symptoms.   - Adults > = 18 years of age.
"Abnormal findings on examination of blood, without diagnosis","Metabolic, multi-organ and microvascular effects of a low-calorie diet in younger obese with prediabetes and/or metabolic syndrome.","Prediabetes affects around 1 in every 5 people which is usually due to being overweight or obese. As a consequence, people with prediabetes have a 5-10 times higher risk of developing type 2 diabetes (referred to as diabetes). There is often co-existing high blood pressure and/or unhealthy cholesterol levels (collectively known as the âmetabolic syndromeâ). People with metabolic syndrome are more likely to suffer from a heart attack/stroke (cardiovascular disease). In addition, many people with predates will have âfatty liver diseaseâ (non-alcoholic fatty liver disease) which can result in major liver-related complications in later life.    Diabetes complications often seen at diagnosis suggesting complications may also be evident in many people at the earlier, prediabetes stage. Even when complications are not yet apparent, âpre-clinicalâ abnormalities are frequently detectable with sensitive investigations. These complications, maybe delayed, prevented or even reversed with lifestyle intervention.     Weight loss remains the most effective lifestyle intervention. Even 1 kg of weight loss reduces the progression of prediabetes to diabetes by 16%. Greater weight loss is needed to prevent other complications: 10% weight loss can cause remission of established diabetes and improve the structure of the heart while 7% weight loss can reverse liver scarring.     This study will compare the effects of a safe and effective 12-month weight management intervention, in 44 people who are obese,33 participants will using a low-calorie (~800Kcal), liquid replacement diet for 12 weeks, followed by reintroduction of a 'normal' diet and weight maintenance. In comparator, 11 people will be in a standard care that currently being delivered within National Health System (NHS) care.    We will examine how weight loss improves the abnormalities of the bloods sugars, blood pressure, cholesterol, liver fate, heart and nerve function and structure. In an additional optional substudy, we will assess how the weight loss impacts upon appetite regulation within the brain and nerves.","Inclusion criteria  1. Men and women aged 18-55 years*,   2. BMI 30 -40 kg/m2, BMI> 27 kg/m2 for Chinese/ South Asians  3. a diagnosis of prediabetes (HbA1c 42-47 mmol/mol) OR a diagnosis of metabolic syndrome using the National Cholesterol Education Program (NCEP) Adult Treatment Panel III (ATPIII) (see below)    Metabolic syndrome criteria:  Individual who have at least 3 of the 5 following criteria must be met to diagnose a person with metabolic syndrome:    â¢Abdominal obesity: waist circumference of > = 102 cm (40 inches) in men and > = 88 cm (35 inches) in women  â¢Hypertriglyceridemia: TG > = 150 mg/dl (1.695 mmol/L)  â¢Low HDL-C: <  40 mg/dL (1.04 mmol/dL) in men and <  50 mg/dL (1.30 mmol/dL) in women  â¢High blood pressure (BP): > 130/85 mmHg  â¢High fasting glucose: > 110 mg/dl (6.1 mmol/L)    *We have elected to study a relatively young age group (< 55 years) as younger onset represents a more aggressive phenotype and are particularly vulnerable to the cardiovascular complications . It also potentially reduces the confounding influence of age-associated effects on cardiac structure and function."
Accidental poisoning by and exposure to noxious substances,A Prospective Study of Acute Severe Poisonings In Children,"Poisoning occurs when someone is exposed to a substance that can affect his or her health. Accidental or unintentional poisonings involve people poisoning themselves or others without wanting to cause harm. Accidental poisoning in children is a common reason for attendance at healthcare providers. Young children, especially those under five, have an inquisitive nature, and frequently put things found in their environment into their mouths. Teenagers involved in taking illicit drugs or alcohol are also in danger of poisoning themselves unintentionally because of their risk-taking behaviour.  Serious consequences are rare after an accidental poisoning and most children are either discharged or observed for a few hours. However, a number of children continue to suffer significant harm, with between 5 and 10 deaths each year and around 50 children admitted to intensive care within the UK. There is very little detailed data regarding serious poisoning in children in the UK.   This study, for the first time, will determine the incidence and identify the circumstances surrounding severe accidental poisoning in children under 15 years in the UK and Republic of Ireland resulting in death, or signs and symptoms of poisoning defined as needing significant monitoring or support. This is a prospective, national, surveillance cohort study, conducted in secondary care in collaboration with the British Paediatric Surveillance Unit (BPSU). Paediatricians within UK and Republic of Ireland will report cases of severe poisoning through the BPSU âorange cardâ system over a period of 13 months as part of this study.   Accidental poisoning is an avoidable problem and remains an important public health issue. It is well recognised that blanket approaches to public health campaigns are often ineffective. By identifying specific trends in severe poisonings, in particular including specific substances that frequently cause significant harm, it is hoped that these can be subsequently be targeted.",1. Any child < 15 years of age with an acute accidental poisoning resulting in death and/or requiring any of the interventions below (criteria A-E)  2. A Poisoning Severity Score (PSS) of 2 or above (see appendix C of the protocol)    A) Further monitoring which is:  Continuous Oximetry PLUS Oxygen PLUS ECG monitoring   Arterial/CVP monitoring  B) Further airway and respiratory support which is:  Invasive ventilation  Non-invasive ventilation e.g. CPAP  Use of an adjunctive airway e.g. NPA   Nebulised adrenaline for airway obstruction  Intravenous bronchodilators  C) Cardiovascular support which is:  > 40 mls/kg fluid resuscitation   > 80 mls/kg fluid resuscitation over 24 hours  Inotropic/vaspressor treatment  Arrhythmia needing treatment or acute cardiac pacing  D) Neurological Support which is  GCS < 12 AND frequent GCS monitoring (1 hour or less)  Prolonged epileptic seizure requiring continuous IV infusions  E) Other support including  Acute renal replacement (e.g. CVVH/HD/PD)  Plasma filtration or Exchange transfusion  Extracorporeal Liver Support (MARS) or Admission to a Paediatric Liver Unit  CPR in the last 24 hours
Acute upper respiratory infections,MultiÂ­centre EuRopean study of MAjor Infectious Disease Syndromes (MERMAIDS): Acute Respiratory Infections in Adults,"Pathogens causing acute respiratory infections (ARI) are among themost likely candidates to cause the next pandemic. We need to better understand why some people become much more ill than others when they have an ARI.    It is likely that individual risk factors affect the bodyâs response to ARI in different ways and this in turn can influence the severity of disease. Within broad risk groups it is currently not possible to predict which individuals are at increased risk of becoming severely ill. Consequently, there are no opportunities to tailor preventive and therapeutic interventions.     In people who become moderately or severely ill, there is an assumption that the bodyâs underlying response to disease is the same and hence that everyone will benefit equally from the same treatments. Increased insight into how different individuals respond to respiratory pathogens can allow us to better anticipate severity at individual patient levels. This in turn will enable us to formulate strategies for individualized treatment   options to reduce disease severity, risk of complications and hospitalisations.    In this study we will recruit people attending primary and secondary care in order to capture people with mild to severe ARI.   We will analyse samples to observe individual gene activity and we will compare samples from people with different risk factors for more severe disease. This will provide a detailed insight into how the   body responds to infection and provide opportunities to understand the specific contributions of different risk factors","Inclusion Criteria Group 1 â Primary Care Patients    1) Age â¥ 18 years    2) Patient is selfÂ­-attending to primary care (i.e. ambulatory)    3) Clinical suspicion of a new episode of acute respiratory tract infection    4) Onset of the following symptoms, within the last 7 days:    i.i. Sudden onset of self-Â­reported fever   OR tympanic temperature of â¥ 38Â°C at presentation  AND  ii. At least one respiratory symptom (dyspnoea, cough, sore throat, runny or congested nose)  AND  iii. At least one systemic symptom (headache, muscle ache, sweats or chills or tiredness).    Inclusion Criteria Group 2 â Hospitalized Patients    1) Age â¥ 18 y    2) Clinical suspicion of a new episode of acute respiratory tract   infection    3) Patient is admitted to hospital    4) Primary reason for hospital admission is clinical suspicion of a new episode of ARI    5) Onset of the following symptoms, within the last 7 days:    i. Sudden onset of self-Â­reported fever OR tympanic temperature of â¥ 38Â°C at presentation  AND    ii. At least one respiratory symptoms (dyspnoea, cough, sore throat, runny or congested nose)    AND  iii. At least one systemic symptom (headache, muscle ache, sweats or chills or tiredness)"
