1st prediction,2nd prediction,3rd prediction
Diabetes mellitus,Other bacterial diseases,Lung diseases due to external agents
Diabetes mellitus,Arthrosis,"Complications of surgical and medical care, not elsewhere classified"
Papulosquamous disorders,Extrapyramidal and movement disorders,Mood [affective] disorders
Symptoms and signs involving the circulatory and respiratory systems,Other respiratory diseases principally affecting the interstitium,Chronic lower respiratory diseases
"Neurotic, stress-related and somatoform disorders",Diseases of peritoneum,Mood [affective] disorders
Chronic lower respiratory diseases,Mood [affective] disorders,Diseases of middle ear and mastoid
Other diseases of urinary system,Cerebrovascular diseases,General symptoms and signs
"Diseases of oral cavity, salivary glands and jaws",Congenital malformations and deformations of the musculoskeletal system,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Disorders of muscles,"Diseases of arteries, arterioles and capillaries",Arthrosis
Haemorrhagic and haematological disorders of fetus and newborn,Injuries to the head,Arthrosis
Noninflammatory disorders of female genital tract,Bullous disorders,Malignant neoplasm of breast
Conditions involving the integument and temperature regulation of fetus and newborn,Human immunodeficiency virus [HIV] disease,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
"Symptoms and signs involving cognition, perception, emotional state and behaviour","Coagulation defects, purpura and other haemorrhagic conditions",Inflammatory polyarthropathies
"Disorders of eyelid, lacrimal system and orbit",Papulosquamous disorders,Dermatitis and eczema
Other maternal disorders predominantly related to pregnancy,Other bacterial diseases,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
Malignant neoplasms of respiratory and intrathoracic organs,Malignant neoplasms of digestive organs,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
Other bacterial diseases,General symptoms and signs,Other and unspecified disorders of the circulatory system
Noninfective enteritis and colitis,Malignant neoplasms of digestive organs,Other diseases of intestines
Noninflammatory disorders of female genital tract,Persons encountering health services in circumstances related to reproduction,Other maternal disorders predominantly related to pregnancy
Provisional assignment of new diseases of uncertain etiology,Extrapyramidal and movement disorders,"Neurotic, stress-related and somatoform disorders"
