1st prediction,2nd prediction,3rd prediction
"Complications of surgical and medical care, not elsewhere classified","Malignant neoplasms of ill-defined, secondary and unspecified sites",Diseases of liver
Diabetes mellitus,"Abnormal findings on examination of blood, without diagnosis",Obesity and other hyperalimentation
Diabetes mellitus,"Abnormal findings on examination of blood, without diagnosis",Obesity and other hyperalimentation
Diabetes mellitus,"Abnormal findings on examination of blood, without diagnosis",Obesity and other hyperalimentation
Diabetes mellitus,"Abnormal findings on examination of blood, without diagnosis",Obesity and other hyperalimentation
"Complications of surgical and medical care, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis",Arthrosis
Cerebrovascular diseases,"Abnormal findings on examination of blood, without diagnosis",Diabetes mellitus
Obesity and other hyperalimentation,"Abnormal findings on examination of blood, without diagnosis",Diabetes mellitus
General symptoms and signs,Influenza and pneumonia,Toxic effects of substances chiefly nonmedicinal as to source
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Bacterial agents resistant to antibiotics,Acute upper respiratory infections,Other bacterial diseases
Acute upper respiratory infections,Influenza and pneumonia,Chronic lower respiratory diseases
Other acute lower respiratory infections,Influenza and pneumonia,Chronic lower respiratory diseases
Acute upper respiratory infections,Influenza and pneumonia,Other osteopathies
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Acute upper respiratory infections,Metabolic disorders,Other forms of heart disease
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Acute upper respiratory infections,Other bacterial diseases,Other diseases of urinary system
Acute upper respiratory infections,Other acute lower respiratory infections,Influenza and pneumonia
Acute upper respiratory infections,Episodic and paroxysmal disorders,Other diseases of upper respiratory tract
Acute upper respiratory infections,Other diseases of upper respiratory tract,Influenza and pneumonia
Acute upper respiratory infections,Other acute lower respiratory infections,Certain disorders involving the immune mechanism
Acute upper respiratory infections,Influenza and pneumonia,Other acute lower respiratory infections
Acute upper respiratory infections,Influenza and pneumonia,"Diseases of oral cavity, salivary glands and jaws"
Acute upper respiratory infections,Influenza and pneumonia,Other acute lower respiratory infections
Acute upper respiratory infections,Influenza and pneumonia,Other acute lower respiratory infections
Aplastic and other anaemias,Neoplasms of uncertain or unknown behaviour,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
Certain disorders involving the immune mechanism,Aplastic and other anaemias,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
Renal failure,Aplastic and other anaemias,Diabetes mellitus
Renal failure,Aplastic and other anaemias,Diabetes mellitus
Other bacterial diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Ischaemic heart diseases
Arthropod-borne viral fevers and viral haemorrhagic fevers,Protozoal diseases,Other bacterial diseases
Tuberculosis,Arthropod-borne viral fevers and viral haemorrhagic fevers,Influenza and pneumonia
"Malignant neoplasms of eye, brain and other parts of central nervous system",Arthropod-borne viral fevers and viral haemorrhagic fevers,Malignant neoplasms of female genital organs
Other bacterial diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Intestinal infectious diseases
Arthropod-borne viral fevers and viral haemorrhagic fevers,Other bacterial diseases,Protozoal diseases
Arthrosis,"Complications of surgical and medical care, not elsewhere classified",Other joint disorders
Arthrosis,Inflammatory polyarthropathies,Systemic connective tissue disorders
Arthrosis,"Complications of surgical and medical care, not elsewhere classified",Injuries to the hip and thigh
Arthrosis,Other joint disorders,Injuries to the knee and lower leg
Arthrosis,Other joint disorders,Injuries to the knee and lower leg
Arthrosis,General symptoms and signs,Other soft tissue disorders
"Schizophrenia, schizotypal and delusional disorders",Mood [affective] disorders,Arthrosis
Arthrosis,"Complications of surgical and medical care, not elsewhere classified",Other joint disorders
General symptoms and signs,Arthrosis,Other dorsopathies
Inflammatory polyarthropathies,Arthrosis,Papulosquamous disorders
Arthrosis,Inflammatory polyarthropathies,"Complications of surgical and medical care, not elsewhere classified"
Arthrosis,"Complications of surgical and medical care, not elsewhere classified",Other joint disorders
Arthrosis,Other joint disorders,"Complications of surgical and medical care, not elsewhere classified"
